id,long,lat,ECO_CODE,WWF_MHTNUM,C:wdist3,C:wdist4,C:wdist5,C:wdist6,C:wdist7,C:wdist8,C:ones3,C:ones4,C:ones5,C:ones6,C:ones7,C:ones8,C:sizes3,C:sizes4,C:sizes5,C:sizes6,C:sizes7,C:sizes8
enabled_col,0,0,F,F,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
163448,112.9723,23.97386,IM0118,E:eb1,S2,S3,S4,S5,S6,S7,S1,S1,S1,S2,S2,S2,S1,S1,S2,S3,S3,S3
163449,113.4638,23.97386,IM0118,E:eb1,S2,S3,S4,S5,S6,S7,S1,S1,S1,S2,S2,S2,S1,S1,S2,S3,S3,S3
163450,113.9554,23.97386,IM0118,E:eb1,S2,S3,S4,S5,S6,S7,S1,S1,S1,S2,S2,S2,S1,S1,S2,S3,S3,S3
163451,114.447,23.97386,IM0118,E:eb1,S2,S3,S4,S5,S6,S7,S1,S1,S1,S2,S2,S2,S1,S1,S2,S3,S3,S3
163452,114.9385,23.97386,IM0118,E:eb1,S2,S3,S4,S5,S6,S7,S1,S1,S1,S2,S2,S2,S1,S1,S2,S3,S3,S3
163453,115.4301,23.97386,IM0118,E:eb1,S2,S3,S4,S5,S6,S7,S1,S1,S1,S2,S2,S2,S1,S1,S2,S3,S3,S3
163454,115.9217,23.97386,IM0118,E:eb1,S2,S3,S4,S5,S6,S7,S1,S1,S1,S2,S2,S2,S1,S1,S2,S3,S3,S3
163455,116.4132,23.97386,IM0118,E:eb1,S2,S3,S4,S5,S6,S7,S1,S1,S1,S2,S2,S2,S1,S1,S2,S3,S3,S3
163456,116.9048,23.97386,IM0118,E:eb1,S1,S1,S2,S3,S3,S3,S1,S1,S2,S3,S3,S3,S1,S1,S2,S3,S3,S3
163457,117.3963,23.97386,IM0118,E:eb1,S2,S3,S4,S5,S6,S6,S1,S1,S2,S3,S3,S4,S1,S1,S2,S2,S2,S2
163463,120.3457,23.97386,IM0172,E:eb1,S1,S1,S2,S3,S3,S3,S1,S1,S2,S3,S3,S3,S2,S2,S3,S4,S5,S5
163464,120.8373,23.97386,IM0172,E:eb1,S2,S2,S3,S4,S5,S5,S1,S1,S2,S3,S3,S3,S2,S2,S3,S4,S5,S5
163465,121.3289,23.97386,IM0172,E:eb1,S0,S0,S0,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,S2,S3,S3,S3
164095,69.8345,23.5247,IM0901,E:cb9,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S0,S0,S0,S0,S0,S0
164096,70.3244,23.5247,IM1303,E:ca13,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S0,S0,S0,S0,S0,S0
164097,70.8143,23.5247,IM1303,E:ca13,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S0,S0,S0,S0,S0,S0
164098,71.3041,23.5247,IM0901,E:cb9,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S6
164099,71.794,23.5247,IM1303,E:ca13,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S6
